ID,Name,Age,E-Mail,Password,Sports,International Affairs,Cinematography,Literature,Cuisine,Music,Dance,Cinema
48,Pauline,33,Pauline@gmail.com,Pauline@123,1,0,1,1,0,1,0,0
49,Frederick,40,Frederick@gmail.com,Frederick@123,1,0,1,1,0,0,0,0
50,Katherine,31,Katherine@gmail.com,Katherine@123,1,1,0,0,1,1,0,0
51,Roy,40,Roy@gmail.com,Roy@123,1,1,1,0,0,1,1,0
52,Emma,19,Emma@gmail.com,Emma@123,1,1,0,1,1,1,0,0
53,Billy,22,Billy@gmail.com,Billy@123,0,1,0,1,0,0,0,0
54,Hazel,24,Hazel@gmail.com,Hazel@123,1,1,1,1,1,0,0,0
55,Ernest,27,Ernest@gmail.com,Ernest@123,0,0,0,0,1,1,1,1
56,Minnie,17,Minnie@gmail.com,Minnie@123,0,0,1,0,0,1,1,0
57,Ralph,18,Ralph@gmail.com,Ralph@123,1,0,1,0,1,1,0,0
58,Daisy,21,Daisy@gmail.com,Daisy@123,1,0,1,1,0,0,0,1
59,Thomas,23,Thomas@gmail.com,Thomas@123,0,0,0,0,0,0,0,1
60,Edna,16,Edna@gmail.com,Edna@123,0,0,0,0,1,1,1,1
61,Donald,33,Donald@gmail.com,Donald@123,0,1,0,1,1,0,0,1
62,Evelyn,39,Evelyn@gmail.com,Evelyn@123,1,1,1,0,1,1,0,1
63,Jacob,32,Jacob@gmail.com,Jacob@123,0,0,1,0,1,0,1,1
64,Florence,28,Florence@gmail.com,Florence@123,1,0,0,0,0,0,1,1
65,Mike,38,Mike@gmail.com,Mike@123,1,1,1,0,0,1,1,0
66,Sally,36,Sally@gmail.com,Sally@123,0,0,0,0,1,0,0,0
67,Alfred,25,Alfred@gmail.com,Alfred@123,1,1,1,0,1,0,0,0
68,Olga,20,Olga@gmail.com,Olga@123,1,0,0,1,1,0,0,0
69,Joe,23,Joe@gmail.com,Joe@123,1,1,1,0,1,1,1,1
70,Edith,19,Edith@gmail.com,Edith@123,0,1,1,0,0,0,0,1
71,Simon,27,Simon@gmail.com,Simon@123,1,0,1,0,1,1,1,0
72,Maggie,28,Maggie@gmail.com,Maggie@123,0,1,1,1,0,1,0,1
73,Louis,17,Louis@gmail.com,Louis@123,1,0,0,1,1,1,0,1
74,Rose,34,Rose@gmail.com,Rose@123,1,0,1,1,0,1,1,1
75,Eugene,17,Eugene@gmail.com,Eugene@123,0,1,0,1,1,1,1,1
76,Sophie,31,Sophie@gmail.com,Sophie@123,1,1,0,1,1,0,0,0
77,Harold,19,Harold@gmail.com,Harold@123,1,1,1,1,0,1,0,0
78,Gertrude,35,Gertrude@gmail.com,Gertrude@123,0,0,0,0,0,0,0,0
79,Lawrence,24,Lawrence@gmail.com,Lawrence@123,0,0,1,0,1,1,1,0
80,Virginia,20,Virginia@gmail.com,Virginia@123,1,1,0,1,0,0,1,0
81,Patrick,26,Patrick@gmail.com,Patrick@123,0,1,0,0,1,0,1,1
82,Sarah,25,Sarah@gmail.com,Sarah@123,1,0,1,0,1,1,1,0
83,Kenneth,30,Kenneth@gmail.com,Kenneth@123,0,0,0,0,0,1,0,0
84,Stella,40,Stella@gmail.com,Stella@123,1,0,0,0,1,0,1,1
85,Leonard,22,Leonard@gmail.com,Leonard@123,1,0,0,1,0,1,0,0
86,Vera,25,Vera@gmail.com,Vera@123,0,0,1,0,0,0,1,0
87,Phillip,28,Phillip@gmail.com,Phillip@123,0,0,0,1,1,1,1,0
88,Betty,27,Betty@gmail.com,Betty@123,1,1,0,1,0,1,1,1
89,Raymond,16,Raymond@gmail.com,Raymond@123,1,0,1,0,0,1,1,1
90,Irene,31,Irene@gmail.com,Irene@123,0,1,1,0,0,0,0,1
91,Samuel,29,Samuel@gmail.com,Samuel@123,1,0,1,0,1,0,0,0
92,Barbara,22,Barbara@gmail.com,Barbara@123,0,0,1,0,1,1,0,0
93,Tom,23,Tom@gmail.com,Tom@123,0,0,1,1,1,1,1,0
94,Gladys,16,Gladys@gmail.com,Gladys@123,1,1,1,1,0,0,0,0
95,Willie,23,Willie@gmail.com,Willie@123,1,0,0,0,1,1,0,1
96,Ann,36,Ann@gmail.com,Ann@123,1,0,1,0,1,0,0,1
97,Warren,35,Warren@gmail.com,Warren@123,1,0,0,1,0,0,0,1
98,Josephine,36,Josephine@gmail.com,Josephine@123,1,1,1,1,1,0,1,1
99,Alex,16,Alex@gmail.com,Alex@123,0,0,1,0,0,0,0,1
100,Kathryn,24,Kathryn@gmail.com,Kathryn@123,0,0,1,1,1,1,0,0
